FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
NA,,CYPL5,Cyrtandra platyphylla A. Gray,'ilihia,Gesneriaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYSP8,Cylindropuntia spinosior (Engelm.) F.M. Knuth,walkingstick cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,DAFR6,Dasiphora fruticosa (L.) Rydb.,shrubby cinquefoil,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,DAFRF,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,DAWR2,Datura wrightii Regel,sacred thorn-apple,Solanaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,DIFR6,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,DILA10,Distictis lactiflora (Vahl) DC.,liana fragante,Bignoniaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,DIOSP,Diospyros L.,diospyros,Ebenaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,woodland,DIPA9,Dirca palustris L.,eastern leatherwood,Thymelaeaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
521,mixed hardwood,DIVI5,Diospyros virginiana L.,common persimmon,Ebenaceae,tree,Diospyros,virginiana,0.932,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,DUSC,Dubautia scabra (DC.) D.D. Keck,rough dubautia,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ECFA,Echinocereus fasciculatus (Engelm. ex B.D. Jacks.) L.D. Benson,pinkflower hedgehog cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ECFE,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage,pinkflower hedgehog cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,woodland,ELAN,Elaeagnus angustifolia L.,Russian olive,Elaeagnaceae,shrub/tree,Elaeagnus,angustifolia,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,ELCO,Elaeagnus commutata Bernh. ex Rydb.,silverberry,Elaeagnaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
2038,woodland,ELUM,Elaeagnus umbellata Thunb.,autumn olive,Elaeagnaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,ENFA,Encelia farinosa A. Gray ex Torr.,brittlebush,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ENFR,Encelia frutescens (A. Gray) A. Gray,button brittlebush,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,EPTR,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir,Ephedraceae,tree,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,EPVI,Ephedra viridis Coville,mormon tea,Ephedraceae,tree,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
7019,woodland,ERAR17,Erythroxylum areolatum L.,swamp-redwood,Erythroxylaceae,shrub/tree,Erythroxylum,areolatum,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,ERBR11,Erythroxylum brevipes DC.,brisselet,Erythroxylaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7000,,ERFR4,Erithalis fruticosa L.,blacktorch,Rubiaceae,shrub,Erithalis,fruticosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ERLA12,Ericameria laricifolia (A. Gray) Shinners,turpentine bush,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ERNAN5,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,woodland,ERRO3,Erythroxylum rotundifolium Lunan,ratwood,Erythroxylaceae,shrub/tree,Erythroxylum,rotundifolium,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,EUAM9,Euonymus americanus L.,bursting-heart,Celastraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,EUAT5,Euonymus atropurpureus Jacq.,burningbush,Celastraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7060,woodland,EUAX,Eugenia axillaris (Sw.) Willd.,white stopper,Myrtaceae,shrub/tree,Eugenia,axillaris,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,EUFO3,Eugenia foetida Pers.,boxleaf stopper,Myrtaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper,Celastraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7096,woodland,EUGEN,Eugenia L.,stopper,Myrtaceae,shrub/tree,Eugenia,spp.,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7081,woodland,EULI,Eugenia ligustrina (Sw.) Willd.,privet stopper,Myrtaceae,shrub/tree,Eugenia,ligustrina,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
873,woodland,EURH,Eugenia rhombea (Berg) Krug & Urb.,red stopper,Myrtaceae,shrub/tree,Eugenia,rhombea,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7105,woodland,EUXE,Eugenia xerophytica Britton,aridland stopper,Myrtaceae,shrub/tree,Eugenia,xerophytica,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7135,,EXCA,Exostema caribaeum (Jacq.) Schult.,Caribbean princewood,Rubiaceae,shrub,Exostema,caribaeum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,hard maple/oak/hickory/beech,FAGR,Fagus grandifolia Ehrh.,American beech,Fagaceae,tree,Fagus,grandifolia,0.632,hw4,-2.0127,2.4342,FagaceaeDeciduous,hardwood,Hardwood,0.57,-2.0705,2.441
NA,hard maple/oak/hickory/beech,FAGUS,Fagus L.,beech,Fagaceae,tree,NA,NA,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,,FEWI,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,mixed hardwood,FICI,Ficus citrifolia Mill.,wild banyantree,Moraceae,tree,Ficus,citrifolia,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,FOAC,Forestiera acuminata (Michx.) Poir.,eastern swampprivet,Oleaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,FOSP2,Fouquieria splendens Engelm.,ocotillo,Fouquieriaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,mixed hardwood,FRAM2,Fraxinus americana L.,white ash,Oleaceae,tree,Fraxinus,americana,0.936,hw3,-2.48,2.4835,OleaceaeAbove0.55spg,hardwood,Hardwood,0.55,-1.8384,2.3524
NA,,FRAR,Freycinetia arborea Gaudich.,'ie'ie,Pandanaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,FRAXI,Fraxinus L.,ash,Oleaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,FRCA13,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn,Rhamnaceae,shrub/tree,NA,NA,NA,NA,-2.48,2.4835,NA,NA,NA,NA,NA,NA
548,mixed hardwood,FRCA3,Fraxinus caroliniana Mill.,Carolina ash,Oleaceae,tree,Fraxinus,caroliniana,0.936,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,woodland,FRCA6,Fremontodendron californicum (Torr.) Coville,California flannelbush,Sterculiaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,FRCAC7,Frangula californica (Eschsch.) A. Gray ssp. cuspidata (Greene) Kartesz & Gandhi,California buckthorn,Rhamnaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
543,mixed hardwood,FRNI,Fraxinus nigra Marshall,black ash,Oleaceae,tree,Fraxinus,nigra,0.936,hw3,-2.48,2.4835,OleaceaeBelow0.55spg,hardwood,Hardwood,0.51,-2.0314,2.3524
544,mixed hardwood,FRPE,Fraxinus pennsylvanica Marshall,green ash,Oleaceae,tree,Fraxinus,pennsylvanica,0.936,hw3,-2.48,2.4835,OleaceaeBelow0.55spg,hardwood,Hardwood,0.51,-2.0314,2.3524
545,mixed hardwood,FRPR,Fraxinus profunda (Bush) Bush,pumpkin ash,Oleaceae,tree,Fraxinus,profunda,0.936,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,woodland,FRPU7,Frangula purshiana (DC.) A. Gray,Cascara buckthorn,Rhamnaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7206,mixed hardwood,FRUH,Fraxinus uhdei (Wenzig) Lingelsh.,shamel ash,Oleaceae,tree,Fraxinus,uhdei,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,woodland,GABA,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,GADU,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,GAFR2,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,GASH,Gaultheria shallon Pursh,salal,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,GAST2,Galactia striata (Jacq.) Urb.,Florida hammock milkpea,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,GAUR,Gaylussacia ursina (M.A. Curtis) Torr. & A. Gray ex A. Gray,bear huckleberry,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,GESE,Gelsemium sempervirens (L.) W.T. Aiton,evening trumpetflower,Loganiaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,mixed hardwood,GIBI2,Ginkgo biloba L.,maidenhair tree,Ginkgoaceae,tree,Ginkgo,biloba,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
552,mixed hardwood,GLTR,Gleditsia triacanthos L.,honeylocust,Fabaceae,tree,Gleditsia,triacanthos,0.932,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
555,woodland,GOLA,Gordonia lasianthus (L.) Ellis,loblolly bay,Theaceae,shrub/tree,Gordonia,lasianthus,0.792,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,GUAIA,Guaiacum L.,lignum-vitae,Zygophyllaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7299,,GUEL,Guettarda elliptica Sw.,hammock velvetseed,Rubiaceae,shrub,Guettarda,elliptica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300,,GUKR,Guettarda krugii Urb.,frogwood,Rubiaceae,shrub,Guettarda,krugii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,GUMI,Gutierrezia microcephala (DC.) A. Gray,threadleaf snakeweed,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7286,woodland,GUOB,Guapira obtusata (Jacq.) Little,corcho prieto,Nyctaginaceae,shrub/tree,Guapira,obtusata,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7279,,GUOF,Guaiacum officinale L.,lignum-vitae,Zygophyllaceae,shrub,Guaiacum,officinale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7280,,GUSA,Guaiacum sanctum L.,holywood,Zygophyllaceae,shrub,Guaiacum,sanctum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,GUSA2,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,mixed hardwood,GYDI,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree,Fabaceae,tree,Gymnocladus,dioicus,0.932,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7317,,GYLU,Gymnanthes lucida Sw.,oysterwood,Euphorbiaceae,shrub/tree,Gymnanthes,lucida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7321,woodland,HACA2,Haematoxylum campechianum L.,bloodwoodtree,Fabaceae,tree,Haematoxylum,campechianum,0.84,NA,-0.7152,1.7029,Fabaceae/Juglandaceae/Other,NA,NA,NA,-2.5095,2.5437
581,woodland,HACA3,Halesia carolina L.,Carolina silverbell,Styracaceae,shrub/tree,Halesia,carolina,0.792,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
582,mixed hardwood,HADI3,Halesia diptera Ellis,two-wing silverbell,Styracaceae,shrub/tree,Halesia,diptera,0.792,NA,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,woodland,HATE3,Halesia tetraptera Ellis,mountain silverbell,Styracaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,HAVI2,Hackelia virginiana (L.) I.M. Johnst.,beggarslice,Boraginaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7331,,HAVI4,Hamamelis virginiana L.,American witchhazel,Hamamelidaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,HEHE,Hedera helix L.,English ivy,Araliaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7347,woodland,HEJA,Helicteres jamaicensis Jacq.,screwtree,Sterculiaceae,shrub/tree,Helicteres,jamaicensis,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,HEPU17,Heteropterys purpurea (L.) Kunth,bull withe,Malpighiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7346,,HETE21,Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & D.R. Herbst,variable starviolet,Rubiaceae,shrub,Hedyotis,terminalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,HILA2,Hibiscus laevis All.,halberdleaf rosemallow,Malvaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,HODI,Holodiscus discolor (Pursh) Maxim.,oceanspray,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,HYAR,Hydrangea arborescens L.,wild hydrangea,Hydrangeaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,HYBR3,Hypericum brachyphyllum (Spach) Steud.,coastal plain St. Johnswort,Clusiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,HYTR2,Hylocereus trigonus (Haw.) Saff.,strawberry-pear,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,HYUN3,Hylocereus undatus (Haw.) Britton & Rose,nightblooming cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7453,mixed hardwood,ILAN,Ilex anomala Hook. & Arn.,Hawai'i holly,Aquifoliaceae,tree,Ilex,anomala,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7454,mixed hardwood,ILAQ80,Ilex aquifolium L.,English holly,Aquifoliaceae,tree,Ilex,aquifolium,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7455,mixed hardwood,ILCA,Ilex cassine L.,dahoon,Aquifoliaceae,tree,Ilex,cassine,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ILCO,Ilex coriacea (Pursh) Chapm.,large gallberry,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ILDE,Ilex decidua Walter,possumhaw,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
591,pine,ILEX,Ilex L.,holly,Aquifoliaceae,tree,NA,NA,0.932,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
NA,,ILFL,Illicium floridanum Ellis,Florida anisetree,Illiciaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ILGL,Ilex glabra (L.) A. Gray,inkberry,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,pine,ILMO,Ilex montana Torr. & A. Gray ex A. Gray,mountain holly,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
NA,pine,ILMU,"Ilex mucronata (L.) Powell, Savolainen & Andrews",catberry,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ILMY,Ilex myrtifolia Walter,myrtle dahoon,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
591,pine,ILOP,Ilex opaca Aiton,American holly,Aquifoliaceae,tree,Ilex,opaca,0.932,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
NA,pine,ILVE,Ilex verticillata (L.) A. Gray,common winterberry,Aquifoliaceae,tree,NA,NA,0.84,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
7469,pine,ILVO,Ilex vomitoria Aiton,yaupon,Aquifoliaceae,tree,Ilex,vomitoria,0.84,hw3,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
NA,,IPST2,Ipomoea steudelii Millsp.,Steudel's morning-glory,Convolvulaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ISTE2,Isocoma tenuisecta Greene,burroweed,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ITVI,Itea virginica L.,Virginia sweetspire,Grossulariaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,JAAM,Jamesia americana Torr. & A. Gray,fivepetal cliffbush,Hydrangeaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7487,woodland,JABE,Jacquinia berteroi Spreng.,bois bande,Theophrastaceae,shrub/tree,Jacquinia,berteroi,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,JACQU,Jacquemontia Choisy,clustervine,Convolvulaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,JACQU2,Jacquinia L.,jacquinia,Theophrastaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,JACU3,Jacquemontia cumanensis (Kunth) Kuntze,thicket clustervine,Convolvulaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,JAFL,Jasminum fluminense Vell.,jazmin de trapo,Oleaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,mixed hardwood,JUCI,Juglans cinerea L.,butternut,Juglandaceae,tree,Juglans,cinerea,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,cedar/larch,JUCO6,Juniperus communis L.,common juniper,Cupressaceae,tree,NA,NA,0.84,sw1,-2.0336,2.2592,NA,NA,NA,NA,NA,NA
NA,cedar/larch,JUCOD,Juniperus communis L. var. depressa Pursh,common juniper,Cupressaceae,tree,NA,NA,0.84,sw1,-2.0336,2.2592,NA,NA,NA,NA,NA,NA
602,mixed hardwood,JUNI,Juglans nigra L.,black walnut,Juglandaceae,tree,Juglans,nigra,0.872,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
65,cedar/larch,JUOS,Juniperus osteosperma (Torr.) Little,Utah juniper,Cupressaceae,tree,Juniperus,osteosperma,0.352,sw1,-2.0336,2.2592,Cupressaceae2,woodland,Woodland,0.5,-2.7096,2.1942
66,cedar/larch,JUSC2,Juniperus scopulorum Sarg.,Rocky Mountain juniper,Cupressaceae,tree,Juniperus,scopulorum,0.352,sw1,-2.0336,2.2592,NA,NA,NA,NA,NA,NA
68,cedar/larch,JUVI,Juniperus virginiana L.,eastern redcedar,Cupressaceae,tree,Juniperus,virginiana,0.631,sw1,-2.0336,2.2592,CupressaceaeAbove0.40spg,conifer,Conifer,0.43,-2.6327,2.4757
NA,cedar/larch,JUVIV,Juniperus virginiana L. var. virginiana,eastern redcedar,Cupressaceae,tree,NA,NA,0.84,sw1,-2.0336,2.2592,NA,NA,NA,NA,NA,NA
NA,woodland,KALA,Kalmia latifolia L.,mountain laurel,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,KALMI,Kalmia L.,laurel,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7514,woodland,KRFE,Krugiodendron ferreum (Vahl) Urb.,leadwood,Rhamnaceae,shrub/tree,Krugiodendron,ferreum,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,KRLA2,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat,Chenopodiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LACA2,Lantana camara L.,lantana,Verbenaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LAEX,Lantana exarata Urb. & Ekman,Caribbean shrubverbena,Verbenaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LAGR,Lactuca graminifolia Michx.,grassleaf lettuce,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7519,,LAHE2,Labordia hedyosmifolia Baill.,bog labordia,Loganiaceae,forb/herb,Labordia,hedyosmifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,spruce,LALA,Larix laricina (Du Roi) K. Koch,tamarack,Pinaceae,tree,Larix,laricina,0.631,sw5,-2.0773,2.3323,Larix,conifer,Conifer,0.49,-2.3012,2.3853
NA,,LANTA,Lantana L.,lantana,Verbenaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LARE2,Lantana reticulata Pers.,netted shrubverbena,Verbenaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,spruce,LARIX,Larix Mill.,larch,Pinaceae,tree,Larix,spp.,0.631,sw5,-2.0773,2.3323,Larix,conifer,Conifer,0.49,-2.3012,2.3853
NA,,LATR2,Larrea tridentata (DC.) Coville,creosote bush,Zygophyllaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6052,woodland,LEBI2,Lespedeza bicolor Turcz.,shrub lespedeza,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,LEGR,Ledum groenlandicum Oeder,bog Labrador tea,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,LEHI2,Lespedeza hirta (L.) Hornem.,hairy lespedeza,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7565,woodland,LELE10,Leucaena leucocephala (Lam.) de Wit,white leadtree,Fabaceae,tree,Leucaena,leucocephala,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,LEMO5,Leucothrinax morrisii (H. Wendl.) C.Lewis & Zona,Key thatch palm,Arecaceae,palm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LEPA11,Ledum palustre L.,marsh Labrador tea,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7556,,LEQU,Leptocereus quadricostatus (Bello) Britton & Rose,pitahaya,Cactaceae,cactus,Leptocereus,quadricostatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,LIBE3,Lindera benzoin (L.) Blume,northern spicebush,Lauraceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,LIBEB,Lindera benzoin (L.) Blume var. benzoin,northern spicebush,Lauraceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7577,woodland,LIJA,Ligustrum japonicum Thunb.,Japanese privet,Oleaceae,shrub/tree,Ligustrum,japonicum,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,LIOB,Ligustrum obtusifolium Siebold & Zucc.,border privet,Oleaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,LISI,Ligustrum sinense Lour.,Chinese privet,Oleaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,LIST,Linum striatum Walter,ridged yellow flax,Linaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
